HEADER_1;HEADER_2;HEADER_3;HEADER_4;HEADER_5;HEADER_6;HEADER_7;HEADER_8;HEADER_9;HEADER_10;HEADER_11;HEADER_12;HEADER_13;HEADER_14;HEADER_15;HEADER_16;HEADER_17;HEADER_18;HEADER_19;HEADER_20;HEADER_21;HEADER_22;HEADER_23;HEADER_24;HEADER_25;HEADER_26;HEADER_27;HEADER_28;HEADER_29;HEADER_30;HEADER_31;HEADER_32;HEADER_33;HEADER_34;HEADER_35;HEADER_36;HEADER_37;HEADER_38;HEADER_39;HEADER_40;HEADER_41;HEADER_42;HEADER_43;HEADER_44;HEADER_45;HEADER_46;HEADER_47;HEADER_48;HEADER_49;HEADER_50;HEADER_51;HEADER_52;HEADER_53;HEADER_54;HEADER_55;HEADER_56;HEADER_57;HEADER_58;HEADER_59;HEADER_60;HEADER_61;HEADER_62;HEADER_63;HEADER_64;HEADER_65;HEADER_66;HEADER_67;HEADER_68;HEADER_69;HEADER_70;HEADER_71;HEADER_72;HEADER_73;HEADER_74;HEADER_75;HEADER_76;HEADER_77;HEADER_78;HEADER_79;HEADER_80;HEADER_81;HEADER_82;HEADER_83;HEADER_84;HEADER_85;HEADER_86;HEADER_87;HEADER_88;HEADER_89;HEADER_90;HEADER_91;HEADER_92;HEADER_93;HEADER_94;HEADER_95;HEADER_96;HEADER_97;HEADER_98;HEADER_99;HEADER_100;HEADER_101;HEADER_102;HEADER_103;HEADER_104;
13817;7362;30171;2016;26836;29726;11836;30882;18726;15012;9848;9667;5243;9151;16412;14134;11594;14614;2823;14055;2335;8217;17589;8946;18937;24026;23748;28692;1777;3359;8880;4190;2077;15029;226;21041;31156;23559;26857;11110;23155;5103;21767;17613;10559;14795;751;23001;5643;22228;19405;16537;14844;3499;15751;11754;6859;8245;22850;2540;32108;1961;6953;26802;19437;21223;12137;31550;4768;16140;30848;3244;22652;15939;19128;24493;22209;24798;238;55;21467;21669;20120;23931;9609;28269;29447;16408;7742;29165;12777;28814;27080;3022;13585;8693;7471;12801;15227;29935;32224;24149;14730;9947;
17418;22345;20117;16715;23625;31518;13218;23992;27778;16689;1905;20853;8206;25992;7101;21986;32538;29355;10174;226;21837;7605;1010;8591;27564;10410;21277;21804;6587;16139;15503;26714;29157;168;7077;22671;3358;11958;18578;2501;14791;12065;24159;1135;4562;23076;8753;20401;15398;17942;28619;15312;23877;1415;20307;12520;31532;2955;6233;21981;22651;10838;17941;9107;2773;24585;24816;14434;20618;26060;8519;32708;26995;13597;12139;593;30494;30567;9452;29166;10283;5079;13079;17985;13046;20331;4797;32104;25463;13132;8502;21738;16486;11613;20134;3821;2978;7956;16767;6058;8659;20105;21319;7967;
32078;28108;19100;31491;24634;11388;30325;25855;27121;1941;3754;26907;7081;19338;32183;6263;4180;31892;30653;21563;27589;6473;713;17616;17683;27504;21593;20817;4162;23316;10268;11068;19232;30679;29690;17006;29038;11401;7508;13646;31808;20729;5005;4424;28839;3595;29641;30589;16780;18443;6644;31160;2271;833;17159;17316;23538;30406;9350;25661;16159;16790;7501;19333;31921;30181;25485;20600;25346;28343;21522;21313;11744;9131;18119;20398;7989;28439;3195;29666;2791;31322;31205;3914;23038;17518;9190;28114;18693;30397;12559;29528;26034;31798;25699;2912;4041;3743;17758;16650;317;11821;2358;4930;
8600;14162;8544;22839;10398;2774;4950;19214;21549;31785;32152;727;13672;31224;28144;2496;22805;9470;27899;17800;20290;18717;25317;23095;22063;27821;14708;21517;11368;27156;24392;11704;20018;18326;4193;1738;8744;16751;2017;7785;22822;14879;32531;26184;1382;1286;7597;16855;11497;16176;16210;17847;23321;10866;12891;2929;30124;16054;21463;28007;22731;26003;11472;16139;32372;5153;29905;21838;13597;14091;7588;29532;10650;9445;19552;28550;18496;2752;25508;9343;14667;1788;797;716;31869;26206;8270;22134;26632;14178;7312;5378;3758;10195;31831;18338;20775;24728;9144;26029;7875;21457;15400;13133;
10576;12579;10119;30840;4158;29775;9309;9249;18177;16906;1891;12207;15031;1801;11845;22190;31499;3419;4006;30404;27225;31739;3172;11239;14611;29862;26142;31950;12387;17386;32500;11173;4113;22400;18062;32517;936;28379;30816;5923;29396;14849;3884;9032;12559;23194;4552;2945;20604;31558;7457;25239;7187;28980;20352;13377;31999;7153;30988;921;20292;30589;13713;3533;27045;5284;21375;9495;23749;27531;11318;14319;11660;15498;20864;22655;3788;29497;13407;22615;24101;16334;10506;19554;26662;23206;27698;3352;14260;9761;3465;1782;29872;8883;25477;28459;5588;26936;27745;12437;27102;8072;16486;9451;
15345;6988;31080;28220;5944;10000;13203;1176;28108;7577;2920;19469;9944;20344;15618;18133;22523;26335;18590;14285;11757;15796;16474;18729;18534;23012;9021;2918;3387;1018;27000;24705;14026;11248;9707;10087;8601;4164;24811;15276;7482;23375;4163;7551;17522;10963;20600;21982;8346;13779;17234;27398;7236;1191;14231;31022;2338;28495;32282;17268;15652;22024;4084;20760;2785;18461;27154;27368;6456;3328;16880;3323;24119;17305;30627;8354;16699;3038;26909;4764;10329;28324;2733;6537;29949;30644;26821;16545;13265;13858;30464;2726;993;5850;20579;16663;30972;19836;19684;17319;32093;16234;4136;27630;
30347;9503;30097;22877;12669;21954;32120;14711;23042;28922;8119;24638;352;23301;10091;17644;30779;16132;31736;14052;32697;2969;31565;24296;5604;7604;18793;24716;24912;3498;14621;12267;32765;21128;12820;28568;15742;12198;14354;27352;29787;8319;30585;14;7861;14015;31505;3958;23080;7838;28424;16918;25334;15725;5432;15602;19041;7790;20137;5248;27736;8681;24151;5211;26710;8828;18741;12091;8584;1203;30577;11045;2606;25817;31482;24031;15939;22285;8000;3495;12640;28056;9787;18980;29662;31101;22190;20893;21307;14674;16301;22121;22974;27215;21853;14503;29022;28581;19195;2095;11745;1040;19999;25288;
577;10672;1858;667;25939;19477;894;4327;10666;18585;27542;4343;3258;20722;11318;30545;16697;23559;29564;16689;30923;6403;10166;8245;12509;6312;15214;3674;18129;8423;676;24103;5980;24237;27994;6952;11565;27135;19286;20126;17104;20553;32035;31861;7121;6387;13913;27766;31012;30774;13598;5054;11460;9262;4845;12911;4251;48;4758;31141;25762;4701;3974;19884;22601;30583;29257;30832;17177;18676;20045;24628;20632;10577;3305;5767;9069;27305;18845;21364;13252;902;17308;12538;27892;17911;2183;15036;20063;3299;15484;9720;5018;21404;9039;17853;10191;27575;20247;3929;26719;17692;6125;17169;
31435;31833;16624;3350;14804;9020;28301;12980;32225;30624;20989;8139;17570;31879;11790;26755;31731;10601;6439;4924;29699;9164;8326;16068;15541;14101;12493;30925;29254;32414;26557;22686;15665;30216;13121;12808;2383;25555;25006;29852;14403;21035;1865;2843;21269;2565;23818;20270;32541;17515;31903;25943;14883;1556;7604;5416;8644;22840;14450;29107;18967;22946;12613;26177;26513;18183;29155;31559;20518;4502;5002;26517;6065;5328;32392;16849;19350;29850;8961;26148;4518;20625;12013;25651;11843;16797;25952;2385;13764;21961;31502;23282;27931;32338;7182;5475;7604;9213;32478;697;24737;21934;10408;15880;
9461;17719;18115;14037;30061;1646;16765;2253;16726;17538;27672;31671;11434;24975;30226;16295;11133;13423;426;14708;27799;22740;927;29549;22371;17811;20539;1608;8456;7491;31120;3675;15573;27911;25346;271;11234;19880;11781;30353;28660;6887;25640;15306;9634;13585;595;16530;2486;211;18764;13856;28118;6480;30592;29125;24676;26737;20481;26587;2978;6524;4811;21240;4122;6633;19019;23399;24125;7281;4642;21208;21322;21095;15142;22614;7537;20299;28841;30842;11065;19101;17151;7646;10783;13295;15162;26069;22655;19774;23608;11609;11960;16258;13536;27205;9100;23940;26536;9413;4037;2288;19290;9482;
