HEADER_1;HEADER_2;HEADER_3;HEADER_4;HEADER_5;HEADER_6;HEADER_7;HEADER_8;HEADER_9;HEADER_10;
12345678987654362;12345678987672788;12345678987660655;12345678987680821;12345678987673490;12345678987670045;12345678987665799;12345678987683679;12345678987681283;12345678987678785;
12345678987660026;12345678987682466;12345678987677602;12345678987671148;12345678987664282;12345678987654812;12345678987657316;12345678987666263;12345678987659148;12345678987659757;
12345678987686712;12345678987668925;12345678987658223;12345678987654474;12345678987654613;12345678987666703;12345678987671742;12345678987673037;12345678987674039;12345678987674216;
12345678987659768;12345678987676047;12345678987669092;12345678987665859;12345678987656190;12345678987674233;12345678987679988;12345678987680620;12345678987671356;12345678987664215;
12345678987683024;12345678987678132;12345678987685643;12345678987684654;12345678987671994;12345678987658985;12345678987669462;12345678987662032;12345678987682574;12345678987661189;
12345678987679868;12345678987681965;12345678987686983;12345678987687078;12345678987674358;12345678987667180;12345678987663044;12345678987664062;12345678987681850;12345678987655099;
12345678987666637;12345678987657356;12345678987676511;12345678987656163;12345678987654609;12345678987684427;12345678987663361;12345678987663263;12345678987673585;12345678987676969;
12345678987681767;12345678987678126;12345678987670211;12345678987661050;12345678987678691;12345678987669671;12345678987669327;12345678987685422;12345678987678714;12345678987657869;
12345678987673950;12345678987666944;12345678987678405;12345678987674275;12345678987673077;12345678987666161;12345678987659287;12345678987661697;12345678987668252;12345678987680629;
12345678987671265;12345678987686760;12345678987678947;12345678987665644;12345678987659858;12345678987675859;12345678987670439;12345678987656403;12345678987677250;12345678987670862;
